ID,Question,RIT Band,Strand
1,"Simplify: 3x + 2x",190-200,Algebra
2,"What is 5x when x = 3?",190-200,Algebra
3,"Expand: (x+2)(x+4)",200-210,Algebra
4,"Solve for x: 2x + 5 = 15",200-210 ,Algebra
5,"Simplify: (4x)(2x)",200-210,Algebra
6,"Factor: x² + 5x + 6",210-220 ,Algebra
7,"Expand: (x-3)(x+5)",210-220,Algebra
8,"Solve: 3(x - 2) = 15",210-220,Algebra
9,"Simplify: (2x + 3)(x - 1)",210-220,Algebra
10,"Find the value of y if y = 2x + 1 and x = 4",210-220,Algebra
11,"Factor: x² - 9",220-230,Algebra
12,"Expand and simplify: (x+3)(x-2)",220-230,Algebra
13,"Solve for x: 5x - 7 = 3x + 9",220-230,Algebra
14,"Simplify: (x+4)²",220-230,Algebra
15,"Factor: x² + 2x - 15",220-230,Algebra
16,"Solve: (x/2) + 3 = 7" ,230-240,Algebra
17,"Expand: (2x-5)(3x+2)",230-240,Algebra
18,"Solve: 2(x-4) + 3(x+1) = 12",230-240,Algebra
19,"Simplify: (x-2)(x-5)",230-240,Algebra
20,"Factor: 2x² + 5x + 2",230-240,Algebra
21,"Solve for x: 4x + 3 = 19",190-200,Algebra
22,"Simplify: 2(3x + 4)",190-200,Algebra
23,"What is the value of x: 5x = 25",190-200,Algebra
24,"Expand: (x+5)(x+2)",200-210,Algebra
25,"Factor: x² + 7x + 10",200-210,Algebra
26,"Simplify: (2x + 5)(x - 3)",200-210,Algebra
27,"Solve: 6x - 4 = 2x + 12",210-220,Algebra
28,"Expand: (x-2)(x-7)",210-220,Algebra
29,"Simplify: (3x-5)(2x+1)",210-220,Algebra
30,"Factor: x² - 4x - 12",210-220,Algebra
31,"Find x if 2(x - 1) = 4(x + 3)",220-230,Algebra
32,"Expand and simplify: (2x-3)(x+4)",220-230,Algebra
33,"Solve for x: 3x + 2 = 5x - 6",220-230,Algebra
34,"Factor: x² + 3x - 10",220-230,Algebra
35,"Simplify: (x+6)(x-1)",220-230,Algebra
36,"Solve: (x+4)/3 = (x-2)/2",230-240,Algebra
37,"Expand and simplify: (x-5)(x-2)",230-240,Algebra
38,"Solve: 4(x - 2) + 3(x + 1) = 20",230-240,Algebra
39,"Factor: 2x² - 8x - 10",230-240,Algebra
40,"Simplify: (2x+3)(3x-2)",230-240,Algebra
41,"Simplify: x + 3 + x + 2",170-180,Algebra
42,"What is 2x if x = 5?",170-180,Algebra
43,"Solve for x: x + 7 = 12",170-180,Algebra
44,"Simplify: 3(x + 1)",170-180,Algebra
45,"Find the value of y if y = x + 5 and x = 3",170-180,Algebra
46,"Solve: x - 4 = 2",170-180,Algebra
47,"Simplify: 2x + 5x",180-190,Algebra
48,"What is 3(x - 2)?",180-190,Algebra
49,"Solve for x: 5 + x = 9",180-190,Algebra
50,"Expand: (x + 2)(x + 1)",180-190,Algebra
51,"Simplify: (x + 3) + (x + 4)",180-190,Algebra
52,"Find x if x/2 = 6",180-190,Algebra
53,"Solve: 2(x - 1) = 6",180-190,Algebra
54,"Expand: (x + 5)(x - 1)",180-190,Algebra
55,"Simplify: 4x + 2x",180-190,Algebra
56,"Solve: (x + 3)/2 = 5",180-190,Algebra
57,"Simplify: x + x + x",170-180,Algebra
58,"Find x if 2x + 3 = 7",180-190,Algebra
59,"Expand: (x - 1)(x - 2)",180-190,Algebra
60,"Simplify: 5x + 2x - x",180-190,Algebra
